url,versionsDB,versionsJSON,versions
http://dati.camera.it/sparql?default-graph-uri=http://dati.camera.it/ocd/&query=SELECT+DISTINCT+?persona+?pictureUrl+?cognome+?nome+?dataNascita++?nato+?luogoNascita+?genere+?collegio+?nomeGruppo+?sigla+?commissione+?dataIncarico+WHERE+%7B%0D%0A?persona+ocd:rif_mandatoCamera+?mandato;+a+foaf:Person.%0D%0A%0D%0A%23%23+deputato%0D%0A?d+a+ocd:deputato;+ocd:aderisce+?aderisce;ocd:rif_leg+%3Chttp://dati.camera.it/ocd/legislatura.rdf/repubblica_17%3E;ocd:rif_mandatoCamera+?mandato.%0D%0A%0D%0A%23%23anagrafica%0D%0A?d+foaf:surname+?cognome;+foaf:gender+?genere;foaf:firstName+?nome;foaf:depiction+?pictureUrl.%0D%0AOPTIONAL%7B%0D%0A?persona+%3Chttp://purl.org/vocab/bio/0.1/Birth%3E+?nascita.%0D%0A?nascita+%3Chttp://purl.org/vocab/bio/0.1/date%3E+?dataNascita;+rdfs:label+?nato;+ocd:rif_luogo+?luogoNascitaUri.+%0D%0A?luogoNascitaUri+dc:title+?luogoNascita.%0D%0A%7D%0D%0A%0D%0A%23%23+mandato%0D%0A?mandato+ocd:rif_elezione+?elezione.++%0D%0AMINUS%7B?mandato+ocd:endDate+?fineMandato.%7D%0D%0A%0D%0A%23%23+elezione%0D%0A?elezione+dc:coverage+?collegio.%0D%0A%0D%0A%23%23+adesione+a+gruppo%0D%0A?aderisce+ocd:rif_gruppoParlamentare+?gruppo.?gruppo+%3Chttp://purl.org/dc/terms/alternative%3E+?sigla;+dc:title+?nomeGruppo.%0D%0AMINUS%7B?aderisce+ocd:endDate+?fineAdesione%7D%0D%0A%0D%0A%23%23+organo%0D%0A?d+ocd:membro+?membro.?membro+ocd:rif_organo+?organo.+?organo+dc:title+?commissione.+?membro+ocd:startDate+?dataIncarico.%0D%0AMINUS%7B?membro+ocd:endDate+?fineMembership%7D%0D%0A%0D%0A%0D%0A%7D+ORDER+BY+(?cognome)+DESC(?dataIncarico)&format=text/csv&timeout=0&debug=on,63,2,1
http://ourairports.com/countries/US/airports.csv,63,72,55
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12111-0001.csv,62,93,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/41122-0004.csv,62,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12111-0005.csv,62,94,0
http://www.ipeadata.gov.br/ExibeSerie.aspx?module=M&serid=40349&oper=exportCSVUS,62,0,0
https://data.gov.au/dataset/f80007d1-fe53-4fa7-b021-991f0edd4a5c/resource/2db587db-4552-482a-aa69-913e0ee9cf03/download/BallaratCurrentPlanningApps.csv,62,63,62
http://ourairports.com/countries/AU/airports.csv,61,66,56
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12411-0008.csv,61,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0006.csv,61,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12411-0020.csv,61,96,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0001.csv,61,94,0
https://www.dati.lombardia.it/api/views/647i-nhxk/rows.csv?accessType=DOWNLOAD,61,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0902.csv,61,95,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12612-0012.csv,61,95,0
http://www.civicdata.com/datastore/dump/ad346da7-ce88-4c77-a0e1-10ff09bb0622,60,65,60
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0012.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12711-0010.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0105.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/13321-0006.csv,60,94,0
https://www-genesis.destatis.de/genesis/online?sequenz=tabelleDownload&selectionname=22923-0002&regionalschluessel=&format=csv,60,0,0
https://www-genesis.destatis.de/genesis/online?sequenz=tabelleDownload&selectionname=22923-0001&regionalschluessel=&format=csv,60,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12613-0005.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0010.csv,60,95,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12612-0009.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0900.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0111.csv,60,94,0
https://data.medicare.gov/api/views/pqp8-xrjv/rows.csv?accessType=DOWNLOAD,60,0,0
http://www.ipeadata.gov.br/ExibeSerie.aspx?module=M&serid=40351&oper=exportCSVUS,60,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0903.csv,60,94,0
https://www-genesis.destatis.de/genesis/online?sequenz=tabelleDownload&selectionname=61262-0004&regionalschluessel=&format=csv,60,0,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12211-0203.csv,60,94,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/12411-0004.csv,60,95,0
https://www-genesis.destatis.de/genesis/online/link/tabelleDownload/13321-0001.csv,60,95,0
