folder,sizeOriginal,sizeDaff,evolution,patch,quality,sameHeader
6443,166305,63882,443,41,207,0
6447,250754,56001,139,344,87,0
6450,224007,85605,538,85,317,0
6454,262365,110961,835,119,400,0
6459,730340,272407,1365,216,570,0
6460,286206,75407,169,383,126,1
6462,453637,92054,1422,63,613,0
6464,776083,407113,1646,221,791,0
6466,590689,292279,1181,244,406,0
6467,450869,111274,1308,141,627,0
6468,1419515,789839,2485,903,726,0
6471,379408,127121,656,104,353,0
6473,964962,170829,1049,4968,372,0
6474,3710176,1352130,4376,7338,1894,1
6478,160277,82694,322,102,198,0
6481,475436,107858,332,1447,295,0
6487,348316,122844,834,74,368,0
6490,854784,182415,960,5217,355,0
6495,107174,18614,49,68,46,0
6505,157634,50019,357,28,172,0
6507,724163,370818,1586,164,602,0
6509,229413,117869,288,72,140,0
6519,791067,319563,1440,525,609,0
6521,556679,255495,1008,127,566,0
6526,934555,494845,1692,248,923,0
6527,267424,124338,595,127,324,0
6528,4189,6173,20,13,7,1
6531,500242,184032,1234,258,504,0
6532,220714,77905,585,40,318,0
6534,259836,106810,879,65,357,0
6538,364237,202740,404,748,149,0
6545,576727,153574,681,105,354,0
6550,274159,76211,680,40,379,0
6552,876605,1335413,3961,1563,292,0
6554,315865,84951,897,66,487,0
6557,798716,128062,623,129,324,0
6560,296606,108096,538,98,288,0
6568,317781,162598,548,135,275,0
6570,592219,209195,1013,180,447,0
6572,416683,111912,1144,102,594,0
6574,404897,221480,679,203,352,0
6576,1513399,372076,2356,11750,526,0
6578,374283,88655,178,746,117,0
6580,727300,147725,407,2557,226,0
6592,46002,15348,75,10,70,0
6593,438167,135026,914,117,482,0
6601,65010,17638,37,36,24,0
6605,587626,284476,901,127,370,0
6608,163705,57338,210,24,94,0
6609,485495,296413,733,199,366,0
6612,267917,123117,517,160,314,0
6613,373971,128585,927,105,467,0
6614,144581,35931,336,20,180,0
6616,246584,114757,472,146,294,0
6618,561038,80923,177,914,126,1
6620,1568953,322501,2758,21907,1532,1
6629,683643,238879,828,177,389,0
6633,556589,188326,608,135,317,0
6635,369452,93002,1130,108,548,0
6639,1243966,349661,1914,607,932,0
6643,155027,17737,64,291,61,1
6647,425499,221754,792,169,429,0
6648,459358,218949,740,144,339,0
6650,431358,157807,1210,104,578,0
6652,340976,138974,467,90,232,0
6655,1789939,611783,1816,347,739,0
6658,92463,16112,66,18,23,0
6662,2565262,152801,4587,1004,2296,0
6663,472862,131615,820,114,384,0
6668,1934068,229930,1481,320,735,0
6671,517606,216809,808,156,473,0
6672,155027,17737,68,279,63,1
6676,104954,15609,66,99,60,1
6678,89105,24709,38,55,35,0
6679,375684,68519,119,274,90,1
6681,488389,182001,861,112,405,0
6682,516147,194062,701,186,328,0
6684,728706,222941,1104,405,593,0
6690,492121,177431,873,151,420,0
6691,6755,2890,9,6,6,0
6695,26095,33260,25,25,15,0
6697,26291,4590,15,16,13,1
6701,111468,65519,98,33,69,0
6702,444581,147515,738,127,410,0
6703,320223,121497,675,54,312,0
6704,2110,6551,9,7,7,1
6708,204101,72392,195,52,133,0
6714,421872,147145,740,96,358,0
6717,387678,94661,710,112,384,0
6718,151344,48982,296,23,150,0
6719,409366,73849,367,118,207,0
6721,60689,57292,38,34,18,0
6723,1481062,1788962,15340,11789,1196,0
6727,401677,201340,625,166,302,0
6729,1555470,732195,12302,11115,1782,0
6734,44506,17326,22,24,15,0
6735,711499,322931,933,179,393,0
6740,601050,166668,981,127,491,0
6741,264003,116336,349,65,208,0
6742,901054,442535,1466,235,578,0
6743,569377,321637,253,328,115,1
6745,18814,6827,14,12,8,1
6749,262451,80044,540,93,330,0
6750,638504,375324,1286,141,479,0
6757,413370,111577,358,51,200,0
6758,329924,66552,165,572,84,0
6759,348891,144069,1040,106,513,0
6760,510691,131655,499,125,240,0
6761,182386,94179,323,54,144,0
6764,172761,59857,132,213,42,0
6770,391276,76574,325,156,217,0
6775,176722,79323,421,49,287,0
6776,256643,84213,165,63,148,0
