folder,intersection,union,average
6283,0,260,16
6290,0,260,17
6294,0,260,14
6297,0,260,20
6298,0,260,13
6299,0,260,18
6300,0,260,15
6301,0,260,14
6305,0,260,13
6308,0,260,15
6309,0,260,16
6316,0,260,14
6321,0,260,12
6326,0,260,13
6329,1103,1103,91
6335,0,260,16
6337,0,260,15
6343,524,524,43
6345,0,260,18
6347,7,1986,165
6348,5,1539,109
6353,0,260,13
6356,10,2497,166
6358,0,260,15
6360,46,53,4
6362,0,2018,168
6365,0,260,18
6367,0,260,13
6370,0,260,17
6372,0,260,12
6374,0,0,0
6377,0,260,15
6378,11,2194,199
6381,0,326,20
6382,0,260,18
6391,154,157,13
6393,0,260,17
6400,0,260,20
6402,0,260,15
6403,1,427,38
6406,0,260,16
6407,0,260,16
6408,0,260,16
6409,159,159,13
6410,0,552,46
6416,0,260,14
6417,0,0,0
6423,0,260,16
6427,0,260,16
6428,0,260,14
6429,0,260,15
6434,0,260,13
