"folder";"sizeOriginal";"sizeDaff";"evolution";"patch";"quality"
6014;178935;68408;173;33;92
6015;223498;82964;408;93;247
6019;24786;4972;21;21;13
6022;421233;147312;601;115;335
6023;1097882;322828;1207;233;558
6025;449485;228234;692;128;302
6026;31867;6579;18;17;15
6029;260916;75793;754;41;396
6031;1661607;526253;3008;8207;557
6042;475164;159846;1466;134;754
6045;495694;236656;690;145;364
6047;521416;217717;1262;134;684
6051;85948;29232;44;56;29
6054;577953;360193;1215;204;479
6058;616898;197766;578;141;291
6059;128569;43122;77;112;35
6060;3521927;499231;4030;82355;2381
6064;297080;82720;849;35;420
6066;139926;30943;57;105;38
6070;366596;133418;797;117;410
6071;492229;316198;840;189;346
6073;614877;239904;749;139;379
6076;337796;53618;106;347;74
6079;155792;82432;282;89;190
6088;543809;211325;687;145;326
6091;126510;13242;138;113;50
6092;579229;226459;876;125;395
6095;424819;131734;612;108;263
6099;477333;78846;231;864;126
6103;366978;156906;481;119;272
6105;1624632;241860;1398;8142;833
6113;2572208;1136969;2719;558;1222
6115;251624;109589;394;42;203
6117;3189485;735186;4201;1007;2299
6122;291235;89868;582;45;272
6125;338355;77053;430;106;199
6134;1391910;1970311;3737;2416;2098
6140;268493;102689;510;47;254
6143;232808;75183;789;38;299
6144;53085;22415;36;32;19
6145;856698;153068;711;3339;264
6146;89245;38401;52;67;45
6151;317543;66945;214;609;130
6154;231625;98412;743;61;298
6157;661833;182207;823;198;500
6161;271132;101781;908;144;460
6162;1212973;711717;3966;1091;1777
6166;409242;190033;1623;170;872
6169;425640;194268;1350;147;693
6171;7126209;1362983;88444;618560;72744
6172;1703158;596347;5228;1447;2030
6173;929484;164615;1361;6265;595
6176;572628;272263;1325;262;766
6177;453603;273284;1547;231;664
6178;39516;146289;889;169;47
6187;269487;109632;592;171;370
6201;251937;79837;1267;103;535
6202;69579;8089;63;95;63
6203;553081;278307;1719;275;843
6205;320218;129534;1302;99;579
6206;355747;144840;1488;190;728
6208;388814;83402;773;161;329
6210;501376;65311;249;756;255
6212;318337;95539;1341;185;515
6214;550492;188596;456;1584;286
6216;338344;127699;1382;78;711
6218;464794;188961;1476;258;577
6222;366106;150666;1085;207;548
6223;398589;154742;1506;184;1061
6226;158083;50087;138;252;98
6228;146067;36610;118;232;95
6229;215703;38548;148;345;132
6237;739395;363800;1699;326;728
6240;692148;317716;1898;294;745
6245;1075424;439519;2922;514;1371
6255;273618;73381;1043;83;483
6256;196508;24454;144;214;130
6257;565471;261948;1479;215;1273
6259;61738;18802;60;66;55
6261;151935;35983;123;213;106
6263;2822978;241323;6286;13348;7076
6267;495493;239559;1848;251;816
6271;379246;176005;636;159;286
6272;141990;60772;318;28;166
6273;705705;708251;2952;1979;2271
6274;282877;103391;617;43;288
6275;266565;151340;331;81;182
6282;3599920;2144772;9479;4476;2591
6283;390427;173504;623;172;311
6290;118720;71887;215;87;146
6294;261784;101642;697;43;335
6297;3861072;818230;14103;8707;6892
6298;325758;109560;619;45;356
6299;403774;123809;517;104;245
6300;249935;101878;461;47;235
6301;235792;68632;713;33;364
