file,versions,size,average
5951,18,970568,53920.44444
5953,14,3579671,255690.7857
5955,28,11201349,400048.1786
5957,13,5877015,452078.0769
5958,19,461042,24265.36842
5960,32,7603868,237620.875
5961,13,117361,9027.769231
5962,19,1909347,100491.9474
5964,23,712844,30993.21739
5969,20,285774,14288.7
5970,17,637164,37480.23529
5974,13,6950656,534665.8462
5979,22,20656640,938938.1818
5987,18,477204,26511.33333
5990,21,767404,36543.04762
5994,20,264884,13244.2
5995,20,306413,15320.65
5997,26,8765127,337120.2692
6003,18,390818,21712.11111
6006,18,673053,37391.83333
6009,18,1258413,69911.83333
6013,20,561345,28067.25
6014,16,178935,11183.4375
6015,18,223498,12416.55556
6016,13,15591990,1199383.846
6019,13,24786,1906.615385
6022,17,421233,24778.41176
6023,18,1097882,60993.44444
6025,18,449485,24971.38889
6026,13,31867,2451.307692
6029,18,260916,14495.33333
6031,14,1661607,118686.2143
6034,30,20617928,687264.2667
6037,14,10743071,767362.2143
6038,18,776755,43153.05556
6041,22,1900128,86369.45455
6042,18,475164,26398
6043,12,56231038,4685919.83325000000
6045,19,495694,26089.15789
6046,12,9805846,817153.8333
6047,20,521416,26070.8
6051,13,85948,6611.384615
6054,20,577953,28897.65
6058,16,616898,38556.125
6059,12,128569,10714.08333
6060,13,3521927,270917.4615
6061,11,1388090,126190
6064,21,297080,14146.66667
6066,13,139926,10763.53846
6070,22,366596,16663.45455
6071,19,492229,25906.78947
6073,19,614877,32361.94737
6076,13,337796,25984.30769
6079,17,155792,9164.235294
6082,27,4064107,150522.4815
6087,11,2685466,244133.2727
6088,18,543809,30211.61111
6091,14,126510,9036.428571
6092,20,579229,28961.45
6095,18,424819,23601.05556
6099,13,477333,36717.92308
6103,16,366978,22936.125
6105,13,1624632,124971.6923
6113,22,2572208,116918.5455
6115,19,251624,13243.36842
6117,20,3189485,159474.25
6118,21,4227557,201312.2381
6119,30,7316958,243898.6
6122,21,291235,13868.33333
6125,15,338355,22557
6126,13,238502,18346.30769
6132,13,9154974,704228.7692
6134,13,1391910,107070
6135,24,379099,15795.79167
6137,31,3289242,106104.5806
6138,14,1398500,99892.85714
6140,18,268493,14916.27778
6143,19,232808,12253.05263
6144,12,53085,4423.75
6145,12,856698,71391.5
6146,13,89245,6865
6147,9,1285276,142808.4444
6150,27,24810854,918920.5185
6151,12,317543,26461.91667
6154,18,231625,12868.05556
6157,16,661833,41364.5625
6158,13,30451265,2342405
6161,17,271132,15948.94118
6162,18,1212973,67387.38889
6166,20,409242,20462.1
6167,12,3840908,320075.6667
6169,19,425640,22402.10526
6170,12,97648432,8137369.33325000000
6171,11,7126209,647837.1818
6172,17,1703158,100185.7647
6173,13,929484,71498.76923
6176,17,572628,33684
6177,18,453603,25200.16667
6178,12,39516,3293
6183,26,497742,19143.92308
6187,17,269487,15852.17647
6189,13,493090,37930
6191,18,1004608,55811.55556
6197,12,13602686,1133557.167
6201,18,251937,13996.5
6202,12,69579,5798.25
6203,18,553081,30726.72222
6205,20,320218,16010.9
6206,22,355747,16170.31818
6208,13,388814,29908.76923
6210,12,501376,41781.33333
6212,15,318337,21222.46667
6214,11,550492,50044.72727
6216,21,338344,16111.61905
6218,16,464794,29049.625
6222,17,366106,21535.64706
6223,21,398589,18980.42857
6225,46,1471198,31982.56522
6226,12,158083,13173.58333
6228,12,146067,12172.25
6229,15,215703,14380.2
6232,12,43827874,3652322.83325000000
6237,20,739395,36969.75
6240,19,692148,36428.84211
6242,24,4905936,204414
6245,22,1075424,48882.90909
6247,12,71833608,598613425000000
6255,17,273618,16095.17647
