folder,sizeOriginal,sizeDaff,evolution,patch,quality,numberOfVersions,originalRows,originalColumns,addedRows,deletedRows,modifiedRows,addedColumns,deletedColumns,modifiedColumns,totalChanged,changedCells,sizeZip,sizeZipDaff
5361,671365,117499,316,1442,175,17,239,18,0.031996062,2.46E-04,0.078759537,0.006535948,0,0,518437,7.088864277,208242,29609
5362,264685,268190,884,141,433,23,464,1,0.229197901,0.229197901,0,0.434782609,0.434782609,0,2171303,203.4579273,95811,80934
5365,304855,237077,854,194,419,23,455,1,0.184042045,0.184042045,0,0.347826087,0.347826087,0,1278864,122.2039178,118058,76206
5370,515103,89351,225,787,124,16,167,18,0.017215569,3.74E-04,0.033682635,0.006944444,0,0,104164,2.16575183,169297,22689
5379,2512571,303521,1324,15966,987,15,918,18,0.001742919,0,0.051633987,0,0,0,1738,0.007012023,775842,51301
5380,70531,69552,314,34,175,20,75,1,0.204,0.204,0,0.3,0.3,0,112127,74.75133333,31012,27210
5384,85606,143025,688,138,429,25,23,1,0.994782609,0.946086957,0,0.6,0.6,0,651312,1132.716522,37275,52591
5394,64142,80880,512,36,252,21,74,1,0.256113256,0.256113256,0,0.380952381,0.380952381,0,206893,133.1357786,28707,31084
5396,43830,54007,397,28,198,22,28,1,0.271103896,0.271103896,0,0.272727273,0.272727273,0,107859,175.0957792,21892,22934
5397,91554,73280,340,43,166,20,56,1,0.220535714,0.220535714,0,0.3,0.3,0,112698,100.6232143,33889,27297
5402,68638,67930,322,37,145,21,81,1,0.19047619,0.19047619,0,0.285714286,0.285714286,0,158162,92.98177543,32518,27257
5422,230731,217914,902,102,429,22,195,1,0.255477855,0.255477855,0,0.454545455,0.454545455,0,985196,229.6494172,81829,70422
5432,95902,117460,635,136,350,25,23,1,0.876521739,0.874782609,0,0.4,0.4,0,501599,872.346087,39814,41644
5446,77603,144266,90,63,49,16,10,6,0.7875,0.7875,0.15,0,0,0,1544,1.608333333,28978,45545
5447,872555,549259,3352,864,1476,22,1607,1,0.139333597,0.18413758,0,0.318181818,0.318181818,0,3092359,87.46843356,77819,50567
5450,117532,73295,383,44,145,20,150,1,0.126666667,0.168666667,0,0.25,0.25,0,227342,75.78066667,35479,23355
5459,360416,218905,854,220,382,21,24,1,3.859126984,2.98015873,0,0.333333333,0.333333333,0,952558,1889.996032,144668,77211
5460,256840,211059,978,126,451,23,456,1,0.183924485,0.183924485,0,0.347826087,0.347826087,0,1476622,140.7915713,85490,60043
5470,239331,179086,941,212,463,20,24,1,4.033333333,3.1375,0,0.35,0.35,0,2113500,4403.125,83428,54773
5473,269792,218640,622,132,306,21,459,1,0.206452952,0.205519245,0,0.380952381,0.380952381,0,2826451,293.2307293,88041,61857
5475,259419,171416,675,123,279,19,460,1,0.166933638,0.166933638,0,0.315789474,0.315789474,0,677528,77.52036613,96015,53000
5478,297993,240141,942,142,466,21,463,1,0.201069629,0.201069629,0,0.380952381,0.380952381,0,1360239,139.8991052,124074,80282
5482,53521,80846,654,36,334,23,28,1,0.409937888,0.409937888,0,0.434782609,0.434782609,0,236163,366.7127329,25390,32321
5483,77886,95035,493,115,290,23,24,1,0.869565217,0.775362319,0,0.391304348,0.391304348,0,353565,640.5163043,35559,35807
5486,264337,233325,673,135,298,22,468,1,0.193667444,0.236790987,0,0.409090909,0.409090909,0,1571682,152.6497669,92571,69263
5504,494779,385673,1394,292,643,24,24,1,4.309027778,4.309027778,0,0.416666667,0.416666667,0,1976190,3430.885417,203217,140983
5507,74608,87919,537,41,248,23,28,1,0.368012422,0.375776398,0,0.391304348,0.391304348,0,188647,292.9301242,34383,36100
5515,86312,98608,642,48,306,25,74,1,0.219459459,0.219459459,0,0.32,0.32,0,260330,140.7189189,38260,37001
5517,60137,97262,616,45,311,23,21,1,0.556935818,0.556935818,0,0.52173913,0.52173913,0,208780,432.2567288,26673,38124
5519,53760,68861,636,112,330,21,23,1,0.451345756,0.426501035,0,0.333333333,0.333333333,0,114622,237.3126294,22360,24386
5527,274104,149763,573,124,301,21,469,1,0.103868413,0.149050665,0,0.238095238,0.238095238,0,462476,46.95664534,99068,45578
5530,300174,197983,702,143,322,20,482,1,0.171991701,0.171991701,0,0.3,0.3,0,1543518,160.1159751,109451,60299
5531,69275,53647,577,35,244,20,80,1,0.14625,0.14625,0,0.2,0.2,0,72883,45.551875,27299,20562
5535,323209,323716,1153,160,521,24,471,1,0.221514508,0.261146497,0,0.458333333,0.458333333,0,3020728,267.2264685,119043,100039
5536,61932,69815,533,34,266,21,76,1,0.202380952,0.202380952,0,0.285714286,0.285714286,0,226066,141.6453634,28476,27128
5540,6309842,2920815,17596,93027,2539,17,732,44,0,0,0.941176471,0,0,0,14148,0.025839397,1096746,626327
5557,263511,230584,710,150,394,21,23,1,4.919254658,4.022774327,0,0.428571429,0.428571429,0,1518852,3144.621118,96670,73263
5561,74090,90057,509,46,253,21,78,1,0.254578755,0.254578755,0,0.380952381,0.380952381,0,259958,158.7045177,32592,33802
5567,231835,227724,706,116,270,20,460,1,0.225652174,0.225652174,0,0.4,0.4,0,4753651,516.7011957,90464,72808
5578,259122,87864,420,112,201,17,474,1,0.080044676,0.080044676,0,0.117647059,0.117647059,0,358226,44.4559444,98610,27064
5597,80360,94711,490,36,226,21,75,1,0.268571429,0.300952381,0,0.428571429,0.428571429,0,290380,184.368254,32663,35194
5612,247384,231179,753,183,387,21,24,1,4.757936508,3.892857143,0,0.428571429,0.428571429,0,1530009,3035.732143,95502,75307
5615,60415,44508,673,32,244,18,85,1,0.152941176,0.152941176,0,0.222222222,0.222222222,0,83318,54.45620915,24694,17792
5621,873224,132374,543,2324,232,15,331,18,0.002618328,8.06E-04,0.046928499,0.007407407,0,0,169939,1.901521763,280454,27407
5626,94852,155255,995,143,526,26,23,1,0.994983278,0.993311037,0,0.615384615,0.615384615,0,720183,1204.319398,40437,56289
5627,944480,168808,549,2548,247,15,341,18,0.003910068,1.96E-04,0.057086999,0.007407407,0,0,318138,3.455392636,293222,37225
5633,442156,96430,203,670,114,16,146,18,0.026541096,0,0.088613014,0.006944444,0,0,211746,5.03581621,150346,28439
5634,494050,107237,243,843,131,16,221,18,0.006504525,0,0.073812217,0.006944444,0,0,230081,3.614897562,155122,28776
5637,124900,71135,311,48,135,18,77,1,0.158730159,0.158730159,0,0.222222222,0.222222222,0,80676,58.20779221,43994,25161
5640,1037523,1007638,3648,1036,1182,21,1359,1,0.286975717,0.286975717,0,0.476190476,0.476190476,0,6683042,234.1722555,275103,227664
5647,82760,111042,551,50,306,21,79,1,0.311030741,0.311030741,0,0.476190476,0.476190476,0,421222,253.9011453,34335,40352
5648,106791,27976,48,65,32,14,45,18,0.019047619,0,0.149206349,0.007936508,0,0,21266,1.875308642,41024,10549
5661,41232,72753,368,30,186,20,24,1,0.495833333,0.495833333,0,0.5,0.5,0,180318,375.6625,20930,30710
5666,60726,46628,286,28,132,18,77,1,0.152958153,0.152958153,0,0.222222222,0.222222222,0,80696,58.22222222,26047,18517
5669,57354,83668,539,96,306,22,24,1,0.428030303,0.426136364,0,0.409090909,0.409090909,0,158087,299.407197,25410,31049
5671,264565,226714,931,132,418,22,455,1,0.192507493,0.192507493,0,0.363636364,0.363636364,0,1121229,112.0108891,96244,69266
5672,464353,122337,190,492,105,15,156,24,0.024786325,0.029059829,0.030769231,0.002777778,0.002777778,0,45841,0.816257123,46839,13413
